"url","pageType","region","primaryIntent","primaryKeyword","h1","title","metaDescription","mainWordCount","faqCount","internalLinkCount","primaryCta","introQuality","serviceDescriptionQuality","storyStructureQuality","possibleTextDuplicates","possibleLocationConflicts","possibleCannibalization","indexStatus","changePriority","grade","issues","minorIssues"
"/angebot-pruefen","Hub / Information","Regensburg","Angebot und Leistungsumfang prüfen","angebot prüfen lassen","Angebot in Regensburg prüfen lassen, bevor Umfang oder Preis unklar bleibt","Angebot prüfen lassen | Regensburg | FLOXANT","Angebot prüfen lassen in Regensburg: Reinigung im 50-km-Umkreis, Umzug, Entrümpelung oder Wohnungsauflösung sachlich einordnen.","516","7","4","Angebot prüfen lassen -> /buchung?region=regensburg&service=angebot-pruefen#buchungssystem","gut","ausreichend","ausreichend","[object Object] | [object Object] | [object Object] | [object Object] | [object Object]","","","index, follow","P2","B","",""
"/angebot-vergleichen-duesseldorf","Lokale Service-Seite","Düsseldorf","Angebot und Leistungsumfang prüfen","reinigungsangebote düsseldorf","10 Punkte für einen klaren Angebotsvergleich in Düsseldorf","Reinigungsangebote Düsseldorf: 10 Punkte vergleichen","Zwei Reinigungsangebote in Düsseldorf anhand von 10 Punkten vergleichen: Umfang, Fläche, Turnus, Zeiten, Zugang, Material und Zusatzkosten prüfen.","2929","19","23","Angebot prüfen lassen -> /angebot-guenstiger-pruefen#guenstiger-form","gut","gut","gut","[object Object] | [object Object] | [object Object] | [object Object] | [object Object] | [object Object] | [object Object] | [object Object]","","","index, follow","P1","A","",""
"/angebot-vergleichen-regensburg","Lokale Service-Seite","Regensburg","Angebot und Leistungsumfang prüfen","angebot vergleichen regensburg","Angebot aus Regensburg sachlich prüfen für Reinigung, Umzug oder Wohnungsauflösung","Angebot vergleichen Regensburg | Reinigung, Umzug & Räumung | FLOXANT","Angebot vergleichen Regensburg: Reinigung, Büroreinigung, Umzug, Wohnungsauflösung oder Entrümpelung mit Fotos sachlich prüfen.","2162","8","24","Schnelle Klärung und Angebotsprüfung -> /leistungen#regensburg-special","gut","gut","gut","[object Object] | [object Object] | [object Object] | [object Object] | [object Object] | [object Object] | [object Object] | [object Object] | [object Object] | [object Object] | [object Object] | [object Object] | [object Object] | [object Object] | [object Object] | [object Object] | [object Object] | [object Object] | [object Object] | [object Object] | [object Object] | [object Object]","","","index, follow","P1","A","",""
"/angebotscheck","Hub / Information","überregional oder nicht ortsgebunden","Angebot und Leistungsumfang prüfen","angebotscheck","Zwölf Punkte eines Angebots einzeln klären","Angebotscheck: 12 Punkte zum Leistungsumfang | FLOXANT","Vorhandenes Angebot für Reinigung, Umzug oder Räumung clientseitig prüfen: 12 Bereiche markieren, Rückfragen erstellen und Ergebnis übernehmen.","482","0","1","Neues Reinigungsangebot vorbereiten -> /reinigungsfirma-angebot","ausreichend","gut","ausreichend","","","","index, follow","P2","B","",""
"/beiladung","Hub / Information","Regensburg","passenden Service und nächsten Schritt wählen","beiladung regensburg","Beiladung und Möbel-Mitnahme in Bayern","Beiladung Regensburg | Möbeltransport fair mitnehmen","Einzelmöbel, Kartons oder kleine Mengen? Beiladung ab Regensburg und in Bayern prüfen, wenn Route und Zeitfenster passen. Fotos, Termin, Umfang und Preisrahmen direkt senden und Machbarkeit prüfen lassen.","264","9","5","Weiterführend Standard-Umzug ansehen -> /umzug","gut","ausreichend","schwach","","","","index, follow","P2","B","",""
"/beiladung-regensburg","Lokale Service-Seite","Regensburg","Leistung verstehen und anfragen","beiladung regensburg","Umzug in regensburg","Beiladung Regensburg: Route, Volumen und Zeitfenster prüfen","Start, Ziel, Maße, Volumen, Zugang und flexibles Zeitfenster für eine Beiladung ab oder nach Regensburg senden und die Machbarkeit prüfen lassen.","2569","14","24","Budget nennen -> /anfrage-mit-preisrahmen","ausreichend","gut","gut","[object Object] | [object Object] | [object Object] | [object Object] | [object Object] | [object Object] | [object Object] | [object Object] | [object Object] | [object Object] | [object Object] | [object Object] | [object Object] | [object Object] | [object Object] | [object Object] | [object Object] | [object Object] | [object Object] | [object Object] | [object Object] | [object Object] | [object Object] | [object Object] | [object Object] | [object Object] | [object Object] | [object Object] | [object Object] | [object Object] | [object Object] | [object Object] | [object Object] | [object Object] | [object Object] | [object Object] | [object Object] | [object Object] | [object Object]","","","index, follow","P1","A","",""
"/blog","Blog / Ratgeber","überregional oder nicht ortsgebunden","informieren und nächsten Schritt finden","floxant ratgeber","Leitfäden für Services, Preisrahmen und klare Entscheidungen","FLOXANT Ratgeber | Umzug, Reinigung & Preise","Praxisnahe Hilfe zu Umzug, Reinigung, Entrümpelung, Beiladung, Preisvorstellung und Serviceplanung in Düsseldorf und Regensburg. Fotos, Termin, Umfang und Preisrahmen direkt senden und Machbarkeit prüfen lassen.","9168","19","162","Buchung starten -> /buchung","ausreichend","gut","gut","","","","index, follow","P2","A","",""
"/blog/anbieter-hat-abgesagt-was-tun","Blog / Ratgeber","überregional oder nicht ortsgebunden","informieren und nächsten Schritt finden","anbieter abgesagt was tun?","Anbieter hat abgesagt: Was tun, wenn Termin oder Übergabe trotzdem naeher rücken?","Anbieter abgesagt was tun? | FLOXANT Plan B","Anbieter hat abgesagt: FLOXANT zeigt, welche Angaben jetzt wichtig sind und wie ein Plan B für Reinigung, Umzug, Entrümpelung oder Übergabe vorbereitet wird.","823","4","13","Kurzfristig anfragen -> /buchung","gut","gut","ausreichend","[object Object] | [object Object] | [object Object] | [object Object] | [object Object] | [object Object]","","","index, follow","P2","A","",""
"/blog/anfrage-regensburg-richtig-stellen","Blog / Ratgeber","Regensburg","informieren und nächsten Schritt finden","anfrage in regensburg richtig stellen","Anfrage in Regensburg richtig stellen: welche Angaben FLOXANT schneller helfen","Anfrage in Regensburg richtig stellen: so kommt FLOXANT schneller...","Welche Angaben bei Umzug, Reinigung, Entrümpelung oder Büroumzug in Regensburg die Vorprüfung schneller und die Rückmeldung klarer machen.","930","3","11","Buchung direkt starten -> /buchung","gut","gut","gut","[object Object] | [object Object] | [object Object] | [object Object] | [object Object] | [object Object]","","","index, follow","P2","A","",""
"/blog/angebot-anderer-firma-pruefen-regensburg","Blog / Ratgeber","Regensburg","informieren und nächsten Schritt finden","angebot anderer firma prüfen lassen","Angebot einer anderen Firma prüfen lassen: was FLOXANT praktisch klärt","Angebot anderer Firma prüfen lassen | FLOXANT Regensburg","Vor Zusage Preis, Umfang, Termin, Fotos und offene Punkte prüfen lassen: FLOXANT klärt Angebote für Umzug, Reinigung, Entrümpelung und Entsorgung in Regensburg, Umgebung und Regensburg.","998","3","13","Angebot günstiger oder passender prüfen -> /angebot-guenstiger-pruefen","gut","gut","ausreichend","[object Object] | [object Object] | [object Object] | [object Object] | [object Object] | [object Object]","","","index, follow","P2","A","",""
"/blog/angebot-ohne-besichtigung-riskant","Blog / Ratgeber","überregional oder nicht ortsgebunden","informieren und nächsten Schritt finden","angebot ohne besichtigung riskant?","Angebot ohne Besichtigung: Wann Fotos reichen und wann es riskant wird","Angebot ohne Besichtigung riskant? | FLOXANT","Angebot ohne Besichtigung: Wann Fotos, Video und klare Angaben reichen und welche Warnzeichen bei Reinigung, Umzug, Entsorgung oder PV-Reinigung wichtig sind.","853","3","13","Angebot mit Fotos prüfen -> /angebot-guenstiger-pruefen","gut","gut","ausreichend","[object Object] | [object Object] | [object Object] | [object Object] | [object Object] | [object Object]","","","index, follow","P2","A","",""
"/blog/angebot-pruefen-lassen-wann-floxant-sinnvoll-ist","Blog / Ratgeber","überregional oder nicht ortsgebunden","informieren und nächsten Schritt finden","angebot prüfen lassen","Angebot prüfen lassen: Wann FLOXANT als zweite Einschätzung sinnvoll ist","Angebot prüfen lassen | FLOXANT Angebotsprüfung","Wann Kunden ein fremdes Angebot für Umzug, Reinigung, Entrümpelung oder Entsorgung von FLOXANT prüfen lassen sollten und welche Punkte wirklich zählen.","862","4","11","Angebot prüfen lassen -> /angebot-guenstiger-pruefen","gut","gut","ausreichend","[object Object] | [object Object] | [object Object] | [object Object] | [object Object] | [object Object]","","","index, follow","P2","A","",""
"/blog/angebot-wirkt-zu-teuer-welche-fragen-stellen","Blog / Ratgeber","überregional oder nicht ortsgebunden","informieren und nächsten Schritt finden","angebot wirkt zu teuer? fragen vor der zusage","Angebot wirkt zu teuer: welche Fragen Kunden vor der Zusage stellen sollten","Angebot wirkt zu teuer? Fragen vor der Zusage | FLOXANT","Wenn ein Angebot zu teuer wirkt: welche Fragen zu Umfang, Fotos, Termin, Zugang und Zusatzkosten helfen, bevor Sie zusagen oder FLOXANT um eine zweite Einschätzung bitten.","831","3","11","Angebot prüfen lassen -> /angebot-guenstiger-pruefen","ausreichend","gut","ausreichend","[object Object] | [object Object] | [object Object] | [object Object] | [object Object] | [object Object]","","","index, follow","P2","A","",""
"/blog/auszug-checkliste-regensburg","Blog / Ratgeber","Regensburg","informieren und nächsten Schritt finden","auszug checkliste regensburg","Checkliste für den Auszug in Regensburg: Reinigung, Schlüssel, Restpunkte","Auszug Checkliste Regensburg | FLOXANT","Eine klare Auszugscheckliste für Regensburg: Was vor Endreinigung, Wohnungsuebergabe und Schlüsselabgabe wichtig ist. Fotos, Termin, Umfang und Preisrahmen direkt senden und Machbarkeit prüfen lassen.","917","4","14","Angebot prüfen -> /angebot-guenstiger-pruefen","ausreichend","gut","gut","[object Object] | [object Object] | [object Object] | [object Object] | [object Object] | [object Object] | [object Object] | [object Object] | [object Object] | [object Object] | [object Object] | [object Object] | [object Object] | [object Object] | [object Object]","","","index, follow","P2","A","",""
"/blog/baustaub-nach-renovierung-reihenfolge","Blog / Ratgeber","überregional oder nicht ortsgebunden","informieren und nächsten Schritt finden","baustaub nach renovierung entfernen","Baustaub nach Renovierung entfernen: Die Reihenfolge zählt","Baustaub nach Renovierung entfernen | FLOXANT","Warum Baustaub nicht mit normalem Putzen verschwindet und welche Reihenfolge nach Renovierung sinnvoll ist. Fotos, Termin, Umfang und Preisrahmen direkt senden und Machbarkeit prüfen lassen.","891","4","11","Angebot prüfen -> /angebot-guenstiger-pruefen","ausreichend","ausreichend","gut","[object Object] | [object Object] | [object Object] | [object Object] | [object Object] | [object Object] | [object Object] | [object Object]","","","index, follow","P2","A","",""
"/blog/beiladung-bayern-wann-lohnt-es-sich","Blog / Ratgeber","Bayern","informieren und nächsten Schritt finden","beiladung in bayern richtig einordnen","Beiladung in Bayern: wann sie sich wirklich lohnt","Beiladung in Bayern richtig einordnen | FLOXANT","Beiladung für Bayern richtig einordnen: Vorteile, Grenzen, Preisfaktoren und wann ein eigener Umzug sinnvoller ist. Fotos, Termin, Umfang und Preisrahmen direkt senden und Machbarkeit prüfen lassen.","829","5","12","Angebot prüfen -> /angebot-guenstiger-pruefen","gut","gut","ausreichend","[object Object] | [object Object] | [object Object] | [object Object] | [object Object] | [object Object]","","","index, follow","P2","A","",""
"/blog/berufsumzug-wenig-zeit","Blog / Ratgeber","überregional oder nicht ortsgebunden","informieren und nächsten Schritt finden","berufsumzug mit wenig zeit","Berufsumzug mit wenig Zeit: Wenn der neue Job beginnt, bevor die alte Wohnung abgeschlossen ist","Berufsumzug mit wenig Zeit | FLOXANT","Wie FLOXANT Berufsumzüge unterstützt, wenn Arbeit, neue Stadt, alte Wohnung, Reinigung, Schlüssel und Übergabe gleichzeitig organisiert werden müssen.","1231","6","16","Angebot prüfen -> /angebot-guenstiger-pruefen","gut","gut","gut","[object Object] | [object Object] | [object Object] | [object Object] | [object Object] | [object Object]","","","index, follow","P2","A","",""
"/blog/besseres-guenstigeres-angebot-floxant-pruefen","Blog / Ratgeber","überregional oder nicht ortsgebunden","informieren und nächsten Schritt finden","besseres günstigeres angebot prüfen","Besseres oder günstigeres Angebot gesucht? So prüft FLOXANT deine Anfrage","Besseres günstigeres Angebot prüfen | FLOXANT","Für Kunden, die ein vorhandenes Angebot für Umzug, Reinigung, Entrümpelung oder Entsorgung praktisch prüfen lassen möchten. Fotos, Termin, Umfang und Preisrahmen direkt senden und Machbarkeit prüfen lassen.","909","3","12","Angebot günstiger prüfen -> /angebot-guenstiger-pruefen","ausreichend","gut","gut","[object Object] | [object Object] | [object Object] | [object Object] | [object Object] | [object Object]","","","index, follow","P2","A","",""
"/blog/billige-umzugsangebote-risiko","Blog / Ratgeber","überregional oder nicht ortsgebunden","informieren und nächsten Schritt finden","billige umzugsangebote und ihr risiko","Warum billige Umzugsangebote am Ende teuer werden können","Billige Umzugsangebote und ihr Risiko | FLOXANT","Warum Lockpreise ohne saubere Prüfung zu Nachforderungen, Zeitdruck und Leistungsproblemen führen können und wie FLOXANT realistischer kalkuliert.","1320","6","15","Preisrahmen prüfen -> /rechner","ausreichend","gut","gut","[object Object] | [object Object] | [object Object] | [object Object] | [object Object] | [object Object]","","","index, follow","P2","A","",""
"/blog/budget-planung-umzug-kosten","Blog / Ratgeber","überregional oder nicht ortsgebunden","informieren und nächsten Schritt finden","budgetplanung beim umzug","Budgetplanung beim Umzug: Preisvorstellung richtig nutzen","Budgetplanung beim Umzug | Preisvorstellung richtig nutzen","Wie Kunden ein Zielbudget für Umzug, Reinigung oder Entrümpelung sinnvoll angeben, ohne falsche Preisversprechen zu erzeugen. Fotos, Termin, Umfang und Preisrahmen direkt senden und Machbarkeit prüfen lassen.","842","3","14","Preisvorstellung senden -> /anfrage-mit-preisrahmen","gut","gut","gut","[object Object] | [object Object] | [object Object] | [object Object] | [object Object] | [object Object]","","","index, follow","P2","A","",""
"/blog/buero-praxisreinigung-regensburg-angebot","Blog / Ratgeber","Regensburg","informieren und nächsten Schritt finden","büro- und praxisreinigung regensburg angebot","Büro- und Praxisreinigung in Regensburg: welches Angebot wirklich passt","Büro- und Praxisreinigung Regensburg Angebot | FLOXANT","Büroreinigung, Büro putzen und Praxisreinigung in Regensburg oder Regensburg: FLOXANT hilft, Angebot, Turnus, Fläche, Zugang und Leistungsumfang richtig einzuordnen.","879","3","14","Angebot prüfen -> /angebot-guenstiger-pruefen","gut","gut","gut","[object Object] | [object Object] | [object Object] | [object Object] | [object Object] | [object Object]","","","index, follow","P2","A","",""
"/blog/buero-reinigen-regensburg-bueroreinigung-angebot","Blog / Ratgeber","Regensburg","informieren und nächsten Schritt finden","bübüro reinigen in regensburg","BüBüro reinigen in Regensburg: Angebot für Büroreinigung richtig anfragen","BüBüro reinigen in Regensburg | Büroreinigung Angebot richtig...","Büroreinigung in Regensburg kundennah anfragen: Raumliste, Arbeitsplätze, Sanitär, Küche, Boden, Turnus, Zugang, Fotos und Angebot sauber klären.","1042","4","14","Angebot prüfen -> /angebot-guenstiger-pruefen","gut","gut","ausreichend","[object Object] | [object Object] | [object Object] | [object Object] | [object Object] | [object Object]","","","index, follow","P2","A","",""
"/blog/bueroreinigung-regensburg-angebot-einholen","Blog / Ratgeber","Regensburg","informieren und nächsten Schritt finden","büroreinigung in regensburg anfragen","Büroreinigung in Regensburg anfragen: welche Angaben vor dem Angebot zählen","Büroreinigung in Regensburg anfragen: welche Angaben vor dem...","Welche Angaben zu Fläche, Turnus, Zugang und Randzeiten aus einer Anfrage zur Büroreinigung schneller ein belastbares Angebot machen. Fotos, Termin, Umfang und Preisrahmen direkt senden und Machbarkeit prüfen lassen.","915","3","14","Büroreinigung anfragen -> /regensburg/bueroreinigung","gut","gut","gut","[object Object] | [object Object] | [object Object] | [object Object] | [object Object] | [object Object]","","","index, follow","P2","A","",""
"/blog/bueroumzug-bayern-ohne-betriebsstillstand","Blog / Ratgeber","Bayern","informieren und nächsten Schritt finden","büroumzug in bayern ohne chaos","Büroumzug in Bayern ohne Chaos: so bleibt der Betrieb besser handlungsfähig","Büroumzug in Bayern ohne Chaos | FLOXANT","Wie Unternehmen in Bayern Arbeitsplätze, IT, Zugang und Zeitfenster so planen, dass ein Büroumzug den Betrieb nicht unnötig ausbremst. Fotos, Termin, Umfang und Preisrahmen direkt senden und Machbarkeit prüfen lassen.","871","3","13","Angebot prüfen -> /angebot-guenstiger-pruefen","ausreichend","gut","ausreichend","[object Object] | [object Object] | [object Object] | [object Object] | [object Object] | [object Object]","","","index, follow","P2","A","",""
"/blog/bueroumzug-regensburg-kostenfaktoren-checkliste","Blog / Ratgeber","Regensburg","informieren und nächsten Schritt finden","büroumzug regensburg","Büroumzug in Regensburg: Kostenfaktoren und Checkliste","Büroumzug Regensburg | Kostenfaktoren & Checkliste","Büroumzug in Regensburg realistisch vorbereiten: Arbeitsplätze, IT, Archiv, Zugang, Zeitfenster und Kostentreiber sauber prüfen. Fotos, Termin, Umfang und Preisrahmen direkt senden und Machbarkeit prüfen lassen.","784","3","13","Angebot prüfen -> /angebot-guenstiger-pruefen","ausreichend","gut","gut","[object Object] | [object Object] | [object Object] | [object Object] | [object Object] | [object Object]","","","index, follow","P2","A","",""
"/blog/direkt-anfragen-statt-vergleichsportal-regensburg","Blog / Ratgeber","Regensburg","informieren und nächsten Schritt finden","direkt anfragen statt vergleichsportal","Direkt anfragen statt Vergleichsportal: warum klare Buchungswege besser sind","Direkt anfragen statt Vergleichsportal | FLOXANT Regensburg","Warum direkte Kontaktwege für Umzug, Reinigung und Entrümpelung oft schneller, ehrlicher und planbarer sind als Vergleichsportale. Fotos, Termin, Umfang und Preisrahmen direkt senden und Machbarkeit prüfen lassen.","851","3","15","Angebot prüfen -> /angebot-guenstiger-pruefen","ausreichend","gut","ausreichend","[object Object] | [object Object] | [object Object] | [object Object] | [object Object] | [object Object]","","","index, follow","P2","A","",""
"/blog/diskreter-umzug-sensible-situationen","Blog / Ratgeber","überregional oder nicht ortsgebunden","informieren und nächsten Schritt finden","diskreter umzug in sensiblen situationen","Diskreter Umzug in sensiblen Situationen: Ruhig, klar, ohne große Worte","Diskreter Umzug in sensiblen Situationen | FLOXANT","Wie FLOXANT Umzüge in sensiblen Lebenssituationen ruhig, sachlich und mit klarer Kommunikation plant, ohne unnötige Fragen oder laute Inszenierung.","1259","6","13","Angebot prüfen -> /angebot-guenstiger-pruefen","ausreichend","gut","gut","[object Object] | [object Object] | [object Object] | [object Object] | [object Object] | [object Object]","","","index, follow","P2","A","",""
"/blog/einlagerung-beim-umzug-wann-sinnvoll","Blog / Ratgeber","überregional oder nicht ortsgebunden","informieren und nächsten Schritt finden","einlagerung beim umzug richtig einordnen","Einlagerung beim Umzug: wann sie sinnvoll ist und wann nicht","Einlagerung beim Umzug richtig einordnen | FLOXANT","Wann ist Einlagerung beim Umzug sinnvoll? FLOXANT erklärt typische Fälle, Preisfaktoren und warum sie oft mehr Ruhe in den Ablauf bringt.","739","3","14","Angebot prüfen -> /angebot-guenstiger-pruefen","gut","gut","gut","[object Object] | [object Object] | [object Object] | [object Object] | [object Object] | [object Object]","","","index, follow","P2","A","",""
"/blog/empfang-kueche-sanitaer-montag","Blog / Ratgeber","überregional oder nicht ortsgebunden","informieren und nächsten Schritt finden","montag büroreinigung sichtbereiche","Empfang, Küche, Sanitär: was Mitarbeitende Montag sofort sehen","Montag Büroreinigung Sichtbereiche | FLOXANT","Welche Bereiche in Büros und Praxen für den ersten Eindruck am Montag besonders relevant sind. Fotos, Termin, Umfang und Preisrahmen direkt senden und Machbarkeit prüfen lassen.","862","4","11","Angebot prüfen -> /angebot-guenstiger-pruefen","ausreichend","ausreichend","gut","[object Object] | [object Object] | [object Object] | [object Object] | [object Object] | [object Object] | [object Object] | [object Object]","","","index, follow","P2","A","",""
"/blog/endreinigung-regensburg-checkliste","Blog / Ratgeber","Regensburg","informieren und nächsten Schritt finden","endreinigung in regensburg","Endreinigung in Regensburg: die kurze Checkliste vor der Übergabe","Endreinigung in Regensburg: Checkliste für Wohnung und Übergabe |...","Welche Punkte sind bei einer Endreinigung in Regensburg wirklich wichtig? Checkliste, Preisfaktoren, Ablauf und typische Fehler vor der Übergabe.","816","5","13","Angebot prüfen -> /angebot-guenstiger-pruefen","gut","gut","ausreichend","[object Object] | [object Object] | [object Object] | [object Object] | [object Object] | [object Object]","","","index, follow","P2","A","",""
"/blog/entruempelung-bayern-leitfaden","Blog / Ratgeber","Bayern","informieren und nächsten Schritt finden","entrümpelung in bayern planen","Haushaltsauflösung und Entrümpelung in Bayern seriös planen","Entrümpelung in Bayern planen: Umfang, Freigabe, Entsorgung","Entrümpelung und Haushaltsauflösung mit Räumen, Fotos, Freigaben, Materialarten, Zugang, Reinigung und Zielzustand nachvollziehbar vorbereiten.","405","0","3","Entrümpelung anfragen -> /kontakt?service=entruempelung&intent=entruempelung-bayern-leitfaden&source=blog","ausreichend","gut","gut","","","","index, follow","P2","B","",""
