aggregateType,sourceFile,sourceRow,query,clicks,impressions,ctrPercent,position,priority,classifications,cluster,service,city,suggestedPrimaryRoute,relationStatus,relationBasis,recommendedAction
QUERY,Suchanfragen.csv,40,spezialreinigung düsseldorf,0,52,0,3.83,P1,POSITION_1_TO_5_NO_CLICK,duesseldorf-cleaning-hub,reinigung,duesseldorf,/duesseldorf/reinigung,LIKELY,"Semantische Intent-Übereinstimmung; Query- und Seitenexport bleiben getrennt, daher kein Query-zu-URL-Beweis.",Snippet und Suchintention prüfen; vorhandene Zielseite vor einer neuen Seite manuell bestätigen.
QUERY,Suchanfragen.csv,41,baustellenreinigung düsseldorf,0,52,0,4.6,P1,POSITION_1_TO_5_NO_CLICK,duesseldorf-construction-cleaning,baureinigung,duesseldorf,/duesseldorf/baureinigung,LIKELY,"Semantische Intent-Übereinstimmung; Query- und Seitenexport bleiben getrennt, daher kein Query-zu-URL-Beweis.",Snippet und Suchintention prüfen; vorhandene Zielseite vor einer neuen Seite manuell bestätigen.
QUERY,Suchanfragen.csv,42,gebäudereinigung düsseldorf,0,51,0,3.41,P1,POSITION_1_TO_5_NO_CLICK,duesseldorf-cleaning-hub,reinigung,duesseldorf,/duesseldorf/reinigung,LIKELY,"Semantische Intent-Übereinstimmung; Query- und Seitenexport bleiben getrennt, daher kein Query-zu-URL-Beweis.",Snippet und Suchintention prüfen; vorhandene Zielseite vor einer neuen Seite manuell bestätigen.
QUERY,Suchanfragen.csv,43,umzugshelfer für senioren nürnberg,0,50,0,16.28,P3,POSITION_11_TO_20|MANUAL_REVIEW,unclassified,,,,MANUAL_REVIEW,Kein belastbarer Zielseitenhinweis im Query-Aggregat; manuelle Prüfung vor Seiten- oder Routingentscheidungen.,Intent-spezifischen Inhalt und interne Links prüfen; keine Synonymseite erzeugen.
QUERY,Suchanfragen.csv,44,reinigungsfirma regensburg,0,49,0,48.14,P3,MANUAL_REVIEW,unclassified,,,,MANUAL_REVIEW,Kein belastbarer Zielseitenhinweis im Query-Aggregat; manuelle Prüfung vor Seiten- oder Routingentscheidungen.,Query manuell prüfen; der getrennte Export beweist keine Zielseite.
QUERY,Suchanfragen.csv,45,büroreinigung regensburg,0,48,0,26.25,P3,MANUAL_REVIEW,unclassified,,,,MANUAL_REVIEW,Kein belastbarer Zielseitenhinweis im Query-Aggregat; manuelle Prüfung vor Seiten- oder Routingentscheidungen.,Query manuell prüfen; der getrennte Export beweist keine Zielseite.
QUERY,Suchanfragen.csv,46,baufeinreinigung düsseldorf,0,47,0,4.15,P1,POSITION_1_TO_5_NO_CLICK,duesseldorf-construction-cleaning,baureinigung,duesseldorf,/duesseldorf/baureinigung,LIKELY,"Semantische Intent-Übereinstimmung; Query- und Seitenexport bleiben getrennt, daher kein Query-zu-URL-Beweis.",Snippet und Suchintention prüfen; vorhandene Zielseite vor einer neuen Seite manuell bestätigen.
QUERY,Suchanfragen.csv,47,fensterreinigung,0,46,0,4.98,P3,POSITION_1_TO_5_NO_CLICK|MANUAL_REVIEW,unclassified,,,,MANUAL_REVIEW,Kein belastbarer Zielseitenhinweis im Query-Aggregat; manuelle Prüfung vor Seiten- oder Routingentscheidungen.,Snippet und Suchintention prüfen; vorhandene Zielseite vor einer neuen Seite manuell bestätigen.
QUERY,Suchanfragen.csv,48,putzfirmen düsseldorf,0,46,0,19.57,P3,POSITION_11_TO_20|MANUAL_REVIEW,unclassified,,,,MANUAL_REVIEW,Kein belastbarer Zielseitenhinweis im Query-Aggregat; manuelle Prüfung vor Seiten- oder Routingentscheidungen.,Intent-spezifischen Inhalt und interne Links prüfen; keine Synonymseite erzeugen.
QUERY,Suchanfragen.csv,49,hausmeisterservice,0,45,0,6.44,P3,POSITION_6_TO_10_LOW_CTR|MANUAL_REVIEW,unclassified,,,,MANUAL_REVIEW,Kein belastbarer Zielseitenhinweis im Query-Aggregat; manuelle Prüfung vor Seiten- oder Routingentscheidungen.,CTR-Hypothese mit einer begrenzten Snippet-Änderung testen und 28 Tage messen.
QUERY,Suchanfragen.csv,50,umzug im alter fürth,0,43,0,5.56,P3,POSITION_6_TO_10_LOW_CTR|MANUAL_REVIEW,unclassified,,,,MANUAL_REVIEW,Kein belastbarer Zielseitenhinweis im Query-Aggregat; manuelle Prüfung vor Seiten- oder Routingentscheidungen.,CTR-Hypothese mit einer begrenzten Snippet-Änderung testen und 28 Tage messen.
QUERY,Suchanfragen.csv,51,zu wohnungsauflösung,0,43,0,23.09,P3,MANUAL_REVIEW,unclassified,,,,MANUAL_REVIEW,Kein belastbarer Zielseitenhinweis im Query-Aggregat; manuelle Prüfung vor Seiten- oder Routingentscheidungen.,Query manuell prüfen; der getrennte Export beweist keine Zielseite.
QUERY,Suchanfragen.csv,52,treppenreinigung düsseldorf,0,42,0,2.57,P1,POSITION_1_TO_5_NO_CLICK,duesseldorf-cleaning-hub,reinigung,duesseldorf,/duesseldorf/reinigung,LIKELY,"Semantische Intent-Übereinstimmung; Query- und Seitenexport bleiben getrennt, daher kein Query-zu-URL-Beweis.",Snippet und Suchintention prüfen; vorhandene Zielseite vor einer neuen Seite manuell bestätigen.
QUERY,Suchanfragen.csv,53,wohnungsauflösung regensburg,0,42,0,57.83,P2,MANUAL_REVIEW,regensburg-household-clearance,wohnungsaufloesung,regensburg,/regensburg/wohnungsaufloesung,LIKELY,"Semantische Intent-Übereinstimmung; Query- und Seitenexport bleiben getrennt, daher kein Query-zu-URL-Beweis.",Query manuell prüfen; der getrennte Export beweist keine Zielseite.
QUERY,Suchanfragen.csv,54,umzugshelfer für senioren erlangen,0,40,0,11.18,P3,POSITION_11_TO_20|MANUAL_REVIEW,unclassified,,,,MANUAL_REVIEW,Kein belastbarer Zielseitenhinweis im Query-Aggregat; manuelle Prüfung vor Seiten- oder Routingentscheidungen.,Intent-spezifischen Inhalt und interne Links prüfen; keine Synonymseite erzeugen.
QUERY,Suchanfragen.csv,55,umzug vohenstrauß,0,39,0,4.95,P3,POSITION_1_TO_5_NO_CLICK|MANUAL_REVIEW,unclassified,,,,MANUAL_REVIEW,Kein belastbarer Zielseitenhinweis im Query-Aggregat; manuelle Prüfung vor Seiten- oder Routingentscheidungen.,Snippet und Suchintention prüfen; vorhandene Zielseite vor einer neuen Seite manuell bestätigen.
QUERY,Suchanfragen.csv,56,unterhaltsreinigung,0,39,0,12.21,P3,POSITION_11_TO_20|MANUAL_REVIEW,unclassified,,,,MANUAL_REVIEW,Kein belastbarer Zielseitenhinweis im Query-Aggregat; manuelle Prüfung vor Seiten- oder Routingentscheidungen.,Intent-spezifischen Inhalt und interne Links prüfen; keine Synonymseite erzeugen.
QUERY,Suchanfragen.csv,57,umzüge regensburg,0,39,0,13.13,P3,POSITION_11_TO_20|MANUAL_REVIEW,unclassified,,,,MANUAL_REVIEW,Kein belastbarer Zielseitenhinweis im Query-Aggregat; manuelle Prüfung vor Seiten- oder Routingentscheidungen.,Intent-spezifischen Inhalt und interne Links prüfen; keine Synonymseite erzeugen.
QUERY,Suchanfragen.csv,58,geruchsneutralisation düsseldorf,0,37,0,6.19,P3,POSITION_6_TO_10_LOW_CTR|MANUAL_REVIEW,unclassified,,,,MANUAL_REVIEW,Kein belastbarer Zielseitenhinweis im Query-Aggregat; manuelle Prüfung vor Seiten- oder Routingentscheidungen.,CTR-Hypothese mit einer begrenzten Snippet-Änderung testen und 28 Tage messen.
QUERY,Suchanfragen.csv,59,geruchsneutralisation wohnung düsseldorf,0,36,0,4.42,P3,POSITION_1_TO_5_NO_CLICK|MANUAL_REVIEW,unclassified,,,,MANUAL_REVIEW,Kein belastbarer Zielseitenhinweis im Query-Aggregat; manuelle Prüfung vor Seiten- oder Routingentscheidungen.,Snippet und Suchintention prüfen; vorhandene Zielseite vor einer neuen Seite manuell bestätigen.
QUERY,Suchanfragen.csv,60,kosten umzugsreinigung,0,36,0,49.25,P2,MANUAL_REVIEW,cleaning-calculator-intent,cleaning,,/reinigung-preis-rechner,MANUAL_REVIEW,"Kosten-/Preisabsicht kann Rechner-, Ratgeber- oder Leistungsintention sein und erfordert manuelle Prüfung.",Query manuell prüfen; der getrennte Export beweist keine Zielseite.
QUERY,Suchanfragen.csv,61,umzugshelfer für senioren fürth,0,34,0,8.44,P3,POSITION_6_TO_10_LOW_CTR|MANUAL_REVIEW,unclassified,,,,MANUAL_REVIEW,Kein belastbarer Zielseitenhinweis im Query-Aggregat; manuelle Prüfung vor Seiten- oder Routingentscheidungen.,CTR-Hypothese mit einer begrenzten Snippet-Änderung testen und 28 Tage messen.
QUERY,Suchanfragen.csv,62,seniorenumzug landshut,0,34,0,14.88,P3,POSITION_11_TO_20|MANUAL_REVIEW,unclassified,,,,MANUAL_REVIEW,Kein belastbarer Zielseitenhinweis im Query-Aggregat; manuelle Prüfung vor Seiten- oder Routingentscheidungen.,Intent-spezifischen Inhalt und interne Links prüfen; keine Synonymseite erzeugen.
QUERY,Suchanfragen.csv,63,hausreinigung düsseldorf,0,33,0,1.45,P1,POSITION_1_TO_5_NO_CLICK,duesseldorf-cleaning-hub,reinigung,duesseldorf,/duesseldorf/reinigung,LIKELY,"Semantische Intent-Übereinstimmung; Query- und Seitenexport bleiben getrennt, daher kein Query-zu-URL-Beweis.",Snippet und Suchintention prüfen; vorhandene Zielseite vor einer neuen Seite manuell bestätigen.
QUERY,Suchanfragen.csv,64,schaufensterreinigung düsseldorf,0,33,0,13.82,P1,POSITION_11_TO_20,duesseldorf-window-cleaning,fensterreinigung,duesseldorf,/duesseldorf/fensterreinigung,LIKELY,"Semantische Intent-Übereinstimmung; Query- und Seitenexport bleiben getrennt, daher kein Query-zu-URL-Beweis.",Intent-spezifischen Inhalt und interne Links prüfen; keine Synonymseite erzeugen.
QUERY,Suchanfragen.csv,65,reinigungsfirma regensburg privathaushalt,0,33,0,37.73,P3,MANUAL_REVIEW,unclassified,,,,MANUAL_REVIEW,Kein belastbarer Zielseitenhinweis im Query-Aggregat; manuelle Prüfung vor Seiten- oder Routingentscheidungen.,Query manuell prüfen; der getrennte Export beweist keine Zielseite.
QUERY,Suchanfragen.csv,66,internationale umzüge,0,32,0,13.66,P3,POSITION_11_TO_20|MANUAL_REVIEW,unclassified,,,,MANUAL_REVIEW,Kein belastbarer Zielseitenhinweis im Query-Aggregat; manuelle Prüfung vor Seiten- oder Routingentscheidungen.,Intent-spezifischen Inhalt und interne Links prüfen; keine Synonymseite erzeugen.
QUERY,Suchanfragen.csv,67,umzug erding preise,0,32,0,13.91,P2,POSITION_11_TO_20|MANUAL_REVIEW,moving-calculator-intent,moving,,/umzug-kosten-rechner,MANUAL_REVIEW,"Kosten-/Preisabsicht kann Rechner-, Ratgeber- oder Leistungsintention sein und erfordert manuelle Prüfung.",Intent-spezifischen Inhalt und interne Links prüfen; keine Synonymseite erzeugen.
QUERY,Suchanfragen.csv,68,praxisentrümpelung nürnberg,0,32,0,29.47,P3,MANUAL_REVIEW,unclassified,,,,MANUAL_REVIEW,Kein belastbarer Zielseitenhinweis im Query-Aggregat; manuelle Prüfung vor Seiten- oder Routingentscheidungen.,Query manuell prüfen; der getrennte Export beweist keine Zielseite.
QUERY,Suchanfragen.csv,69,putzfirma regensburg,0,32,0,42.44,P3,MANUAL_REVIEW,unclassified,,,,MANUAL_REVIEW,Kein belastbarer Zielseitenhinweis im Query-Aggregat; manuelle Prüfung vor Seiten- oder Routingentscheidungen.,Query manuell prüfen; der getrennte Export beweist keine Zielseite.
QUERY,Suchanfragen.csv,70,reinigungsfirma angebot erstellen,0,32,0,47.88,P2,MANUAL_REVIEW,cleaning-offer,reinigungsangebot,,/reinigungsfirma-angebot,LIKELY,"Semantische Intent-Übereinstimmung; Query- und Seitenexport bleiben getrennt, daher kein Query-zu-URL-Beweis.",Query manuell prüfen; der getrennte Export beweist keine Zielseite.
