"route","check","expected","actual","status"
"/duesseldorf/bueroreinigung","META_DESCRIPTION","service-specific, 80+ characters","Büroreinigung in Düsseldorf für Firmen: Fläche, Turnus, Reinigungszeiten und Leistungsumfang beschreiben. Angebot Punkt für Punkt prüfen lassen.","PASS"
"/duesseldorf/bueroreinigung","INTRO","service-specific, 100+ characters","Für eine Büroreinigung in Düsseldorf helfen Fläche, Turnus, Reinigungszeiten und besondere Bereiche wie Küche, Sanitär oder Besprechungsräume. FLOXANT prüft die Anfrage anhand der genannten Eckdaten und kann ein vorhande","PASS"
"/duesseldorf/bueroreinigung","SEARCH_INTENT","Büroreinigung","Büroreinigung Düsseldorf für Firmen klar anfragen | Büroreinigung in Düsseldorf für Firmen klar anfragen","PASS"
"/duesseldorf/bueroreinigung","CANONICAL","https://www.floxant.de/duesseldorf/bueroreinigung","https://www.floxant.de/duesseldorf/bueroreinigung","PASS"
"/duesseldorf/bueroreinigung","REDIRECT_CONFLICT","none","none","PASS"
"/duesseldorf/bueroreinigung","SITEMAP","included","included","PASS"
"/duesseldorf/bueroreinigung","INTERNAL_LINKS","at least one inbound link","121","PASS"
"/duesseldorf/bueroreinigung","FAQ","at least three page FAQ entries","6","PASS"
"/duesseldorf/bueroreinigung","LOCATION_CONTENT","Düsseldorf only","clean","PASS"
"/duesseldorf/bueroreinigung","CTA","Düsseldorf request target","city=duesseldorf","PASS"
"/duesseldorf/praxisreinigung","STATUS_200_STATIC","static HTML present","out\duesseldorf\praxisreinigung.html","PASS"
"/duesseldorf/praxisreinigung","TITLE","unique and service-specific","Praxisreinigung Düsseldorf mit konkreten Eckdaten anfragen","PASS"
"/duesseldorf/praxisreinigung","H1","exactly one service-specific H1","1: Praxisreinigung in Düsseldorf klar und mit konkreten Eckdaten anfragen","PASS"
"/duesseldorf/praxisreinigung","META_DESCRIPTION","service-specific, 80+ characters","Praxisreinigung in Düsseldorf sachlich vorbereiten: Räume, sensible Bereiche, Reinigungszeiten, Ansprechpartner und Angebot klären.","PASS"
"/duesseldorf/praxisreinigung","INTRO","service-specific, 100+ characters","Praxisreinigung braucht sachliche Angaben zu Praxisräumen, sensiblen Bereichen, Reinigungszeiten, Zugang und Ansprechpartnern. FLOXANT formuliert keine medizinische Zertifizierung und keine Hygienegarantie.","PASS"
"/duesseldorf/praxisreinigung","SEARCH_INTENT","Praxisreinigung","Praxisreinigung Düsseldorf mit konkreten Eckdaten anfragen | Praxisreinigung in Düsseldorf klar und mit konkreten Eckdaten anfragen","PASS"
"/duesseldorf/praxisreinigung","CANONICAL","https://www.floxant.de/duesseldorf/praxisreinigung","https://www.floxant.de/duesseldorf/praxisreinigung","PASS"
"/duesseldorf/praxisreinigung","REDIRECT_CONFLICT","none","none","PASS"
"/duesseldorf/praxisreinigung","SITEMAP","included","included","PASS"
"/duesseldorf/praxisreinigung","INTERNAL_LINKS","at least one inbound link","21","PASS"
"/duesseldorf/praxisreinigung","FAQ","at least three page FAQ entries","6","PASS"
"/duesseldorf/praxisreinigung","LOCATION_CONTENT","Düsseldorf only","clean","PASS"
"/duesseldorf/praxisreinigung","CTA","Düsseldorf request target","city=duesseldorf","PASS"
"/duesseldorf/fensterreinigung","STATUS_200_STATIC","static HTML present","out\duesseldorf\fensterreinigung.html","PASS"
"/duesseldorf/fensterreinigung","TITLE","unique and service-specific","Fensterreinigung Düsseldorf - Glasflächen und Termin klären","PASS"
"/duesseldorf/fensterreinigung","H1","exactly one service-specific H1","1: Fensterreinigung in Düsseldorf anfragen - Glasflächen, Umfang und Termin klären","PASS"
"/duesseldorf/fensterreinigung","META_DESCRIPTION","service-specific, 80+ characters","Fensterreinigung in Düsseldorf anfragen: Glasflächen, Fensterzahl, Rahmen/Falze optional, Erreichbarkeit, Turnus und Termin beschreiben.","PASS"
"/duesseldorf/fensterreinigung","INTRO","service-specific, 100+ characters","Für Fenster- und Glasreinigung in Düsseldorf zählen Glasflächen, Fensterzahl, Rahmen/Falze optional, Erreichbarkeit, Turnus und Termin. FLOXANT macht keine riskanten Höhen- oder Sicherheitsversprechen ohne Prüfung.","PASS"
"/duesseldorf/fensterreinigung","SEARCH_INTENT","Fensterreinigung","Fensterreinigung Düsseldorf - Glasflächen und Termin klären | Fensterreinigung in Düsseldorf anfragen - Glasflächen, Umfang und Termin klären","PASS"
"/duesseldorf/fensterreinigung","CANONICAL","https://www.floxant.de/duesseldorf/fensterreinigung","https://www.floxant.de/duesseldorf/fensterreinigung","PASS"
"/duesseldorf/fensterreinigung","REDIRECT_CONFLICT","none","none","PASS"
"/duesseldorf/fensterreinigung","SITEMAP","included","included","PASS"
"/duesseldorf/fensterreinigung","INTERNAL_LINKS","at least one inbound link","34","PASS"
"/duesseldorf/fensterreinigung","FAQ","at least three page FAQ entries","6","PASS"
"/duesseldorf/fensterreinigung","LOCATION_CONTENT","Düsseldorf only","clean","PASS"
"/duesseldorf/fensterreinigung","CTA","Düsseldorf request target","city=duesseldorf","PASS"
"/duesseldorf/grundreinigung","STATUS_200_STATIC","static HTML present","out\duesseldorf\grundreinigung.html","PASS"
"/duesseldorf/grundreinigung","TITLE","unique and service-specific","Grundreinigung Düsseldorf für Wohnung & Gewerbe | FLOXANT","PASS"
"/duesseldorf/grundreinigung","H1","exactly one service-specific H1","1: Grundreinigung in Düsseldorf: gründlich geplant für Wohnung, Haus und Gewerbe","PASS"
"/duesseldorf/grundreinigung","META_DESCRIPTION","service-specific, 80+ characters","Grundreinigung in Düsseldorf anfragen: Räume, Fläche, Verschmutzung, Schwerpunkte und Zielzustand nennen. Für Wohnung, Haus, Büro oder Gewerbe.","PASS"
"/duesseldorf/grundreinigung","INTRO","service-specific, 100+ characters","Eine Grundreinigung geht über die laufende Reinigung hinaus. Nennen Sie Räume, Fläche, sichtbare Verschmutzungen, schwer erreichbare Bereiche und den gewünschten Zielzustand. FLOXANT prüft, welche Leistungen zum Objekt u","PASS"
"/duesseldorf/grundreinigung","SEARCH_INTENT","Grundreinigung","Grundreinigung Düsseldorf für Wohnung & Gewerbe | FLOXANT | Grundreinigung in Düsseldorf: gründlich geplant für Wohnung, Haus und Gewerbe","PASS"
"/duesseldorf/grundreinigung","CANONICAL","https://www.floxant.de/duesseldorf/grundreinigung","https://www.floxant.de/duesseldorf/grundreinigung","PASS"
"/duesseldorf/grundreinigung","REDIRECT_CONFLICT","none","none","PASS"
"/duesseldorf/grundreinigung","SITEMAP","included","included","PASS"
"/duesseldorf/grundreinigung","INTERNAL_LINKS","at least one inbound link","21","PASS"
"/duesseldorf/grundreinigung","FAQ","at least three page FAQ entries","12","PASS"
"/duesseldorf/grundreinigung","LOCATION_CONTENT","Düsseldorf only","clean","PASS"
"/duesseldorf/grundreinigung","CTA","Düsseldorf request target","city=duesseldorf","PASS"
"/duesseldorf/unterhaltsreinigung","STATUS_200_STATIC","static HTML present","out\duesseldorf\unterhaltsreinigung.html","PASS"
"/duesseldorf/unterhaltsreinigung","TITLE","unique and service-specific","Unterhaltsreinigung Düsseldorf für Büro & Objekt | FLOXANT","PASS"
"/duesseldorf/unterhaltsreinigung","H1","exactly one service-specific H1","1: Unterhaltsreinigung in Düsseldorf: klare Abläufe für Büro, Gewerbe und Objekt","PASS"
"/duesseldorf/unterhaltsreinigung","META_DESCRIPTION","service-specific, 80+ characters","Unterhaltsreinigung in Düsseldorf anfragen: Flächen, Bereiche, Turnus, Reinigungszeiten, Zugang und Ansprechpartner für Büro, Gewerbe oder Objekt klären.","PASS"
"/duesseldorf/unterhaltsreinigung","INTRO","service-specific, 100+ characters","Regelmäßige Reinigung funktioniert dann gut, wenn Bereiche, Turnus, Zeitfenster, Zugang und Ansprechpartner klar sind. FLOXANT hilft, die laufende Reinigung für Büro, Gewerbe, Treppenhaus oder Gemeinschaftsflächen verstä","PASS"
"/duesseldorf/unterhaltsreinigung","SEARCH_INTENT","Unterhaltsreinigung","Unterhaltsreinigung Düsseldorf für Büro & Objekt | FLOXANT | Unterhaltsreinigung in Düsseldorf: klare Abläufe für Büro, Gewerbe und Objekt","PASS"
"/duesseldorf/unterhaltsreinigung","CANONICAL","https://www.floxant.de/duesseldorf/unterhaltsreinigung","https://www.floxant.de/duesseldorf/unterhaltsreinigung","PASS"
"/duesseldorf/unterhaltsreinigung","REDIRECT_CONFLICT","none","none","PASS"
"/duesseldorf/unterhaltsreinigung","SITEMAP","included","included","PASS"
"/duesseldorf/unterhaltsreinigung","INTERNAL_LINKS","at least one inbound link","7","PASS"
"/duesseldorf/unterhaltsreinigung","FAQ","at least three page FAQ entries","12","PASS"
"/duesseldorf/unterhaltsreinigung","LOCATION_CONTENT","Düsseldorf only","clean","PASS"
"/duesseldorf/unterhaltsreinigung","CTA","Düsseldorf request target","city=duesseldorf","PASS"
"/duesseldorf/baureinigung","STATUS_200_STATIC","static HTML present","out\duesseldorf\baureinigung.html","PASS"
"/duesseldorf/baureinigung","TITLE","unique and service-specific","Bauendreinigung Düsseldorf nach Bau & Renovierung | FLOXANT","PASS"
"/duesseldorf/baureinigung","H1","exactly one service-specific H1","1: Bau- und Bauendreinigung in Düsseldorf: vorbereitet für Abnahme, Einzug oder Übergabe","PASS"
"/duesseldorf/baureinigung","META_DESCRIPTION","service-specific, 80+ characters","Bau- oder Bauendreinigung in Düsseldorf anfragen: Bauphase, Fläche, Staub, Schutzfolien, Restarbeiten, Zugang und Übergabetermin verständlich beschreiben.","PASS"
"/duesseldorf/baureinigung","INTRO","service-specific, 100+ characters","Nach Bau, Umbau oder Renovierung kommt es auf Bauphase, Restarbeiten, Staubbelastung, Schutzfolien, Oberflächen und den Übergabetermin an. FLOXANT prüft den gewünschten Umfang, bevor eine Leistung oder ein Termin zugesag","PASS"
"/duesseldorf/baureinigung","SEARCH_INTENT","Bau- und Bauendreinigung","Bauendreinigung Düsseldorf nach Bau & Renovierung | FLOXANT | Bau- und Bauendreinigung in Düsseldorf: vorbereitet für Abnahme, Einzug oder Übergabe","PASS"
"/duesseldorf/baureinigung","CANONICAL","https://www.floxant.de/duesseldorf/baureinigung","https://www.floxant.de/duesseldorf/baureinigung","PASS"
"/duesseldorf/baureinigung","REDIRECT_CONFLICT","none","none","PASS"
"/duesseldorf/baureinigung","SITEMAP","included","included","PASS"
"/duesseldorf/baureinigung","INTERNAL_LINKS","at least one inbound link","7","PASS"
"/duesseldorf/baureinigung","FAQ","at least three page FAQ entries","6","PASS"
"/duesseldorf/baureinigung","LOCATION_CONTENT","Düsseldorf only","clean","PASS"
"/duesseldorf/baureinigung","CTA","Düsseldorf request target","city=duesseldorf","PASS"
"/duesseldorf/treppenhausreinigung","STATUS_200_STATIC","static HTML present","out\duesseldorf\treppenhausreinigung.html","PASS"
"/duesseldorf/treppenhausreinigung","TITLE","unique and service-specific","Treppenhausreinigung Düsseldorf für Hausverwaltung & WEG | FLOXANT","PASS"
"/duesseldorf/treppenhausreinigung","H1","exactly one service-specific H1","1: Treppenhausreinigung in Düsseldorf für gepflegte Gemeinschaftsflächen","PASS"
"/duesseldorf/treppenhausreinigung","META_DESCRIPTION","service-specific, 80+ characters","Treppenhausreinigung in Düsseldorf anfragen: Etagen, Eingang, Geländer, Aufzug, Gemeinschaftsflächen, Turnus, Zugang und Ansprechpartner klar beschreiben.","PASS"
"/duesseldorf/treppenhausreinigung","INTRO","service-specific, 100+ characters","Für ein Mehrfamilienhaus, eine Eigentümergemeinschaft oder ein Gewerbeobjekt zählen klare Bereiche und ein verlässlicher Abstimmungsweg. Nennen Sie Etagen, Eingang, Geländer, Aufzug, Zusatzflächen, gewünschten Turnus und","PASS"
"/duesseldorf/treppenhausreinigung","SEARCH_INTENT","Treppenhausreinigung","Treppenhausreinigung Düsseldorf für Hausverwaltung & WEG | FLOXANT | Treppenhausreinigung in Düsseldorf für gepflegte Gemeinschaftsflächen","PASS"
"/duesseldorf/treppenhausreinigung","CANONICAL","https://www.floxant.de/duesseldorf/treppenhausreinigung","https://www.floxant.de/duesseldorf/treppenhausreinigung","PASS"
"/duesseldorf/treppenhausreinigung","REDIRECT_CONFLICT","none","none","PASS"
"/duesseldorf/treppenhausreinigung","SITEMAP","included","included","PASS"
"/duesseldorf/treppenhausreinigung","INTERNAL_LINKS","at least one inbound link","3","PASS"
"/duesseldorf/treppenhausreinigung","FAQ","at least three page FAQ entries","7","PASS"
"/duesseldorf/treppenhausreinigung","LOCATION_CONTENT","Düsseldorf only","clean","PASS"
"/duesseldorf/treppenhausreinigung","CTA","Düsseldorf request target","city=duesseldorf","PASS"
"/duesseldorf/gewerbereinigung","STATUS_200_STATIC","static HTML present","out\duesseldorf\gewerbereinigung.html","PASS"
"/duesseldorf/gewerbereinigung","TITLE","unique and service-specific","Gewerbereinigung Düsseldorf - Fläche, Turnus und Umfang klären","PASS"
"/duesseldorf/gewerbereinigung","H1","exactly one service-specific H1","1: Gewerbereinigung in Düsseldorf mit konkreten Eckdaten anfragen","PASS"
"/duesseldorf/gewerbereinigung","META_DESCRIPTION","service-specific, 80+ characters","Gewerbereinigung in Düsseldorf mit konkreten Eckdaten anfragen: Objektart, Fläche, Nutzungszeiten, Turnus und Leistungsumfang beschreiben.","PASS"
"/duesseldorf/gewerbereinigung","INTRO","service-specific, 100+ characters","Bei Gewerbereinigung zählen Objektart, Fläche, Reinigungszeiten, Leistungsumfang und Zugang. FLOXANT hilft, die Anfrage klar vorzubereiten und vorhandene Angebote besser einzuordnen.","PASS"
"/duesseldorf/gewerbereinigung","SEARCH_INTENT","Gewerbereinigung","Gewerbereinigung Düsseldorf - Fläche, Turnus und Umfang klären | Gewerbereinigung in Düsseldorf mit konkreten Eckdaten anfragen","PASS"
"/duesseldorf/gewerbereinigung","CANONICAL","https://www.floxant.de/duesseldorf/gewerbereinigung","https://www.floxant.de/duesseldorf/gewerbereinigung","PASS"
"/duesseldorf/gewerbereinigung","REDIRECT_CONFLICT","none","none","PASS"
"/duesseldorf/gewerbereinigung","SITEMAP","included","included","PASS"
"/duesseldorf/gewerbereinigung","INTERNAL_LINKS","at least one inbound link","34","PASS"
"/duesseldorf/gewerbereinigung","FAQ","at least three page FAQ entries","12","PASS"
"/duesseldorf/gewerbereinigung","LOCATION_CONTENT","Düsseldorf only","clean","PASS"
"/duesseldorf/gewerbereinigung","CTA","Düsseldorf request target","city=duesseldorf","PASS"
"/duesseldorf/reinigung","UNIQUE_TITLE","unique","/duesseldorf/reinigung","PASS"
"/duesseldorf/bueroreinigung","UNIQUE_TITLE","unique","/duesseldorf/bueroreinigung","PASS"
"/duesseldorf/praxisreinigung","UNIQUE_TITLE","unique","/duesseldorf/praxisreinigung","PASS"
"/duesseldorf/fensterreinigung","UNIQUE_TITLE","unique","/duesseldorf/fensterreinigung","PASS"
"/duesseldorf/grundreinigung","UNIQUE_TITLE","unique","/duesseldorf/grundreinigung","PASS"
"/duesseldorf/unterhaltsreinigung","UNIQUE_TITLE","unique","/duesseldorf/unterhaltsreinigung","PASS"
"/duesseldorf/baureinigung","UNIQUE_TITLE","unique","/duesseldorf/baureinigung","PASS"
"/duesseldorf/treppenhausreinigung","UNIQUE_TITLE","unique","/duesseldorf/treppenhausreinigung","PASS"
"/duesseldorf/gewerbereinigung","UNIQUE_TITLE","unique","/duesseldorf/gewerbereinigung","PASS"
"/duesseldorf/reinigung","UNIQUE_H1","unique","/duesseldorf/reinigung","PASS"
"/duesseldorf/bueroreinigung","UNIQUE_H1","unique","/duesseldorf/bueroreinigung","PASS"
"/duesseldorf/praxisreinigung","UNIQUE_H1","unique","/duesseldorf/praxisreinigung","PASS"
"/duesseldorf/fensterreinigung","UNIQUE_H1","unique","/duesseldorf/fensterreinigung","PASS"
"/duesseldorf/grundreinigung","UNIQUE_H1","unique","/duesseldorf/grundreinigung","PASS"
"/duesseldorf/unterhaltsreinigung","UNIQUE_H1","unique","/duesseldorf/unterhaltsreinigung","PASS"
"/duesseldorf/baureinigung","UNIQUE_H1","unique","/duesseldorf/baureinigung","PASS"
"/duesseldorf/treppenhausreinigung","UNIQUE_H1","unique","/duesseldorf/treppenhausreinigung","PASS"
"/duesseldorf/gewerbereinigung","UNIQUE_H1","unique","/duesseldorf/gewerbereinigung","PASS"
"/duesseldorf/reinigung","UNIQUE_DESCRIPTION","unique","/duesseldorf/reinigung","PASS"
"/duesseldorf/bueroreinigung","UNIQUE_DESCRIPTION","unique","/duesseldorf/bueroreinigung","PASS"
"/duesseldorf/praxisreinigung","UNIQUE_DESCRIPTION","unique","/duesseldorf/praxisreinigung","PASS"
"/duesseldorf/fensterreinigung","UNIQUE_DESCRIPTION","unique","/duesseldorf/fensterreinigung","PASS"
"/duesseldorf/grundreinigung","UNIQUE_DESCRIPTION","unique","/duesseldorf/grundreinigung","PASS"
"/duesseldorf/unterhaltsreinigung","UNIQUE_DESCRIPTION","unique","/duesseldorf/unterhaltsreinigung","PASS"
"/duesseldorf/baureinigung","UNIQUE_DESCRIPTION","unique","/duesseldorf/baureinigung","PASS"
"/duesseldorf/treppenhausreinigung","UNIQUE_DESCRIPTION","unique","/duesseldorf/treppenhausreinigung","PASS"
"/duesseldorf/gewerbereinigung","UNIQUE_DESCRIPTION","unique","/duesseldorf/gewerbereinigung","PASS"
"/duesseldorf/reinigung","UNIQUE_INTRO","unique","/duesseldorf/reinigung","PASS"
"/duesseldorf/bueroreinigung","UNIQUE_INTRO","unique","/duesseldorf/bueroreinigung","PASS"
"/duesseldorf/praxisreinigung","UNIQUE_INTRO","unique","/duesseldorf/praxisreinigung","PASS"
"/duesseldorf/fensterreinigung","UNIQUE_INTRO","unique","/duesseldorf/fensterreinigung","PASS"
"/duesseldorf/grundreinigung","UNIQUE_INTRO","unique","/duesseldorf/grundreinigung","PASS"
"/duesseldorf/unterhaltsreinigung","UNIQUE_INTRO","unique","/duesseldorf/unterhaltsreinigung","PASS"
"/duesseldorf/baureinigung","UNIQUE_INTRO","unique","/duesseldorf/baureinigung","PASS"
"/duesseldorf/treppenhausreinigung","UNIQUE_INTRO","unique","/duesseldorf/treppenhausreinigung","PASS"
"/duesseldorf/gewerbereinigung","UNIQUE_INTRO","unique","/duesseldorf/gewerbereinigung","PASS"
"/duesseldorf/bueroreinigung","PRIMARY_INTENT_URL","one primary bueroreinigung URL","/duesseldorf/bueroreinigung","PASS"
"/duesseldorf/praxisreinigung","PRIMARY_INTENT_URL","one primary praxisreinigung URL","/duesseldorf/praxisreinigung","PASS"
"/duesseldorf/fensterreinigung","PRIMARY_INTENT_URL","one primary fensterreinigung URL","/duesseldorf/fensterreinigung","PASS"
